n,judgement,reason
1,0.0,head-error
2,0.0,head-error
3,0.0,head-error
4,0.0,head-error
5,0.0,head-error
6,0.0,head-error
7,0.0,head-error
8,0.0,head-error
9,0.0,head-error
10,0.0,legs-error
11,0.0,legs-error
12,0.0,head-error
13,0.0,head-error
14,1.0,pass
15,0.0,head-error
16,0.0,head-error
17,0.0,legs-error
18,0.0,head-error
19,0.0,head-error
20,0.0,head-error
21,0.0,head-error
22,0.0,head-error
23,0.0,head-error
24,0.0,head-error
25,0.0,head-error
26,0.0,head-error
27,0.0,head-error
28,0.0,head-error
29,0.0,head-error
30,0.0,head-error
31,0.0,legs-error
32,0.0,head-error
33,0.0,head-error
34,0.0,head-error
35,0.0,legs-error
36,0.0,legs-error
37,0.0,head-error
38,0.0,head-error
39,0.0,head-error
40,0.0,head-error
41,0.0,head-error
42,0.0,head-error
43,0.0,head-error
44,0.0,head-error
45,0.0,head-error
46,0.0,head-error
47,0.0,head-error
48,0.0,head-error
49,0.0,head-error
50,0.0,head-error
51,0.0,head-error
52,0.0,head-error
53,0.0,head-error
54,0.0,head-error
55,0.0,head-error
56,0.0,head-error
57,0.0,head-error
58,0.0,head-error
59,0.0,head-error
60,0.0,head-error
61,0.0,head-error
62,0.0,head-error
63,0.0,head-error
64,0.0,head-error
65,1.0,pass
66,1.0,pass
67,0.0,head-error
68,0.0,head-error
69,0.0,head-error
70,0.0,head-error
71,0.0,head-error
72,0.0,head-error
73,0.0,head-error
74,0.0,head-error
75,0.0,head-error
76,0.0,head-error
77,0.0,head-error
78,0.0,head-error
79,0.0,head-error
80,0.0,head-error
81,0.0,head-error
82,0.0,head-error
83,0.0,head-error
84,1.0,pass
85,0.0,head-error
86,0.0,head-error
87,0.0,head-error
88,0.0,head-error
89,0.0,head-error
90,0.0,head-error
91,0.0,head-error
92,0.0,head-error
93,0.0,head-error
94,0.0,head-error
95,0.0,head-error
96,0.0,head-error
97,0.0,head-error
98,0.0,head-error
99,0.0,head-error
100,0.0,head-error
mean,0.04,
